Package,APK_Path,Category,Risk_Score
android,/system/framework/framework-res.apk,Other,0
android.auto_generated_rro_product__,/product/overlay/framework-res__fogo_g__auto_generated_rro_product.apk,Other,0
android.auto_generated_rro_vendor__,/vendor/overlay/framework-res__auto_generated_rro_vendor.apk,Other,0
cci.usage,/product/priv-app/myCC/myCC.apk,Other,0
com.amazon.appmanager,/product/priv-app/AmazonAppManager/AmazonAppManager.apk,Other,0
com.android.avatarpicker,/system/priv-app/AvatarPicker/AvatarPicker.apk,Other,0
com.android.backupconfirm,/system/priv-app/BackupRestoreConfirmation/BackupRestoreConfirmation.apk,Other,0
com.android.bips,/system/priv-app/BuiltInPrintService/BuiltInPrintService.apk,Other,0
com.android.bluetooth,/apex/com.android.btservices/app/Bluetooth@V1UFN35M.193-20/Bluetooth.apk,Other,0
com.android.bluetoothmidiservice,/system/app/BluetoothMidiService/BluetoothMidiService.apk,Other,0
com.android.bookmarkprovider,/system/app/BookmarkProvider/BookmarkProvider.apk,Other,0
com.android.calllogbackup,/system/priv-app/CallLogBackup/CallLogBackup.apk,Other,0
com.android.cameraextensions,/system/app/CameraExtensionsProxy/CameraExtensionsProxy.apk,Other,0
com.android.carrierconfig,/system_ext/priv-app/CarrierConfig/CarrierConfig.apk,Other,0
com.android.carrierdefaultapp,/system/app/CarrierDefaultApp/CarrierDefaultApp.apk,Other,0
com.android.cellbroadcast.overlay,/product/overlay/MotoCellBroadcastReceiverOverlay.apk,Other,0
com.android.cellbroadcastreceiver,/system/priv-app/CellBroadcastLegacyApp/CellBroadcastLegacyApp.apk,Other,0
com.android.cellbroadcastservice.overlay,/product/overlay/MotoCellBroadcastServiceOverlay.apk,Other,0
com.android.certinstaller,/system/app/CertInstaller/CertInstaller.apk,Other,0
com.android.companiondevicemanager,/system/app/CompanionDeviceManager/CompanionDeviceManager.apk,Other,0
com.android.contacts,/product/priv-app/Contacts/Contacts.apk,Other,0
com.android.credentialmanager,/system/priv-app/CredentialManager/CredentialManager.apk,Other,0
com.android.cts.ctsshim,/apex/com.android.apex.cts.shim/app/CtsShim@MAIN/CtsShim.apk,Other,0
com.android.cts.priv.ctsshim,/apex/com.android.apex.cts.shim/priv-app/CtsShimPriv@MAIN/CtsShimPriv.apk,Other,0
com.android.DeviceAsWebcam,/system/priv-app/DeviceAsWebcam/DeviceAsWebcam.apk,Other,0
com.android.devicediagnostics,/system/priv-app/DeviceDiagnostics/DeviceDiagnostics.apk,Other,0
com.android.dialer,/product/priv-app/Dialer/Dialer.apk,Other,0
com.android.dreams.basic,/system/app/BasicDreams/BasicDreams.apk,Other,0
com.android.dynsystem,/system/priv-app/DynamicSystemInstallationService/DynamicSystemInstallationService.apk,Other,0
com.android.egg,/system/app/EasterEgg/EasterEgg.apk,Other,0
com.android.emergency,/system_ext/priv-app/EmergencyInfoGms/EmergencyInfoGms.apk,Other,0
com.android.externalstorage,/system/priv-app/ExternalStorageProvider/ExternalStorageProvider.apk,Other,0
com.android.hotwordenrollment.okgoogle,/product/priv-app/HotwordEnrollmentOKGoogleHEXAGON_WIDEBAND/HotwordEnrollmentOKGoogleHEXAGON_WIDEBAND.apk,Other,0
com.android.hotwordenrollment.xgoogle,/product/priv-app/HotwordEnrollmentXGoogleHEXAGON_WIDEBAND/HotwordEnrollmentXGoogleHEXAGON_WIDEBAND.apk,Other,0
com.android.htmlviewer,/system/app/HTMLViewer/HTMLViewer.apk,Other,0
com.android.imsserviceentitlement,/product/priv-app/ImsServiceEntitlement/ImsServiceEntitlement.apk,Other,0
com.android.inputdevices,/system/priv-app/InputDevices/InputDevices.apk,Other,0
com.android.intentresolver,/system/priv-app/IntentResolver/IntentResolver.apk,Other,0
com.android.internal.display.cutout.emulation.corner,/product/overlay/DisplayCutoutEmulationCorner/DisplayCutoutEmulationCornerOverlay.apk,Other,0
com.android.internal.display.cutout.emulation.double,/product/overlay/DisplayCutoutEmulationDouble/DisplayCutoutEmulationDoubleOverlay.apk,Other,0
com.android.internal.display.cutout.emulation.hole,/product/overlay/DisplayCutoutEmulationHole/DisplayCutoutEmulationHoleOverlay.apk,Other,0
com.android.internal.display.cutout.emulation.noCutout,/product/overlay/DisplayCutoutEmulationNoCutout/DisplayCutoutEmulationNoCutoutOverlay.apk,Other,0
com.android.internal.display.cutout.emulation.tall,/product/overlay/DisplayCutoutEmulationTall/DisplayCutoutEmulationTallOverlay.apk,Other,0
com.android.internal.display.cutout.emulation.waterfall,/product/overlay/DisplayCutoutEmulationWaterfall/DisplayCutoutEmulationWaterfallOverlay.apk,Other,0
com.android.internal.systemui.navbar.gestural,/product/overlay/NavigationBarModeGestural/NavigationBarModeGesturalOverlay.apk,Other,0
com.android.internal.systemui.navbar.hidegestural,/product/overlay/NavigationBarModeHideGestural/NavigationBarModeHideGesturalOverlay.apk,Other,0
com.android.internal.systemui.navbar.threebutton,/product/overlay/NavigationBarMode3Button/NavigationBarMode3ButtonOverlay.apk,Other,0
com.android.internal.systemui.navbar.transparent,/product/overlay/TransparentNavigationBar/TransparentNavigationBarOverlay.apk,Other,0
com.android.keychain,/system/app/KeyChain/KeyChain.apk,Other,0
com.android.localtransport,/system/priv-app/LocalTransport/LocalTransport.apk,Other,0
com.android.location.fused,/system/priv-app/FusedLocation/FusedLocation.apk,Other,0
com.android.managedprovisioning,/system/priv-app/ManagedProvisioning/ManagedProvisioning.apk,Other,0
com.android.mms.service,/system/priv-app/MmsService/MmsService.apk,Other,0
com.android.mtp,/system/priv-app/MtpService/MtpService.apk,Other,0
com.android.nfc,/system_ext/priv-app/NQNfcNci/NQNfcNci.apk,Other,0
com.android.ons,/system/priv-app/ONS/ONS.apk,Other,0
com.android.pacprocessor,/system/app/PacProcessor/PacProcessor.apk,Other,0
com.android.phone,/system/priv-app/TeleService/TeleService.apk,Other,0
com.android.phone.overlay.carriersettings,/product/overlay/TeleServiceCarrierSettingsRRO.apk,Other,0
com.android.phone.overlay.common,/product/overlay/TelephonyResCommonQcomRRO.apk,Other,0
com.android.phone.overlay.motcommon,/product/overlay/TelephonyResMotCommon.apk,Other,0
com.android.printspooler,/system/app/PrintSpooler/PrintSpooler.apk,Other,0
com.android.providers.blockednumber,/system/priv-app/BlockedNumberProvider/BlockedNumberProvider.apk,Other,0
com.android.providers.calendar,/system/priv-app/CalendarProvider/CalendarProvider.apk,Other,0
com.android.providers.contactkeys,/system/priv-app/E2eeContactKeysProvider/E2eeContactKeysProvider.apk,Other,0
com.android.providers.contacts,/system/priv-app/ContactsProvider/ContactsProvider.apk,Other,0
com.android.providers.downloads,/system/priv-app/DownloadProvider/DownloadProvider.apk,Other,0
com.android.providers.downloads.ui,/system/priv-app/DownloadProviderUi/DownloadProviderUi.apk,Other,0
com.android.providers.media,/system/priv-app/MediaProviderLegacy/MediaProviderLegacy.apk,Other,0
com.android.providers.partnerbookmarks,/system/priv-app/PartnerBookmarksProvider/PartnerBookmarksProvider.apk,Other,0
com.android.providers.settings,/system/priv-app/SettingsProvider/SettingsProvider.apk,Other,0
com.android.providers.settings.auto_generated_rro_product__,/product/overlay/SettingsProvider__fogo_g__auto_generated_rro_product.apk,Other,0
com.android.providers.settings.overlay.tmo,/product/overlay/SettingsProvider-rro-tmo.apk,Other,0
com.android.providers.telephony,/system/priv-app/TelephonyProvider/TelephonyProvider.apk,Other,0
com.android.providers.telephony.overlay.carriersettings,/product/overlay/TelephonyProviderCarrierSettingsRRO.apk,Other,0
com.android.providers.userdictionary,/system/priv-app/UserDictionaryProvider/UserDictionaryProvider.apk,Other,0
com.android.proxyhandler,/system/priv-app/ProxyHandler/ProxyHandler.apk,Other,0
